劙	lí		
力	lìǀli		
劝	quàn		
办	bàn		
功	gōng		
加	jiā		
务	wùǀwu		
劢	mài		
劣	liè		
劦	lièǀxié		
动	dòng		
助	zhù		
努	nǔ		
劫	jié		
劬	qú		
劭	shào		
励	lì		
劲	jìnǀjìng		
劳	láoǀlao		
労	láo		
劻	kuāng		
劼	jié		
劾	hé		
势	shìǀshi		
勃	bó		
勇	yǒng		
勉	miǎn		
勋	xūn		
勍	qíng		
勐	měng		
勒	lèǀlēiǀlē		
勔	miǎn		
勖	xù		
勗	xù		
勘	kān		
勚	yì		
勞	láo		
募	mù		
勠	lù		
勤	qín		
勧	quàn		
勯	dān		
勰	xié		
勷	ráng		
勺	sháo		
勾	gōuǀgòu		
勿	wù		
匀	yún		
匁	xx		
匂	xiōng		
包	bāoǀbao		
匆	cōng		
匈	xiōng		
匉	pēng		
匊	jū		
匋	táo		
匍	pú		
匏	páo		
匐	fú		
匑	gōng		
匕	bǐ		
化	huàǀhuā		
北	běi		
匙	shiǀchí		
匚	fāng		
匜	yí		
匝	zā		
匠	jiàngǀjiang		
匡	kuāng		
匣	xiá		
匦	guǐ		
匪	fěi		
匮	kuìǀguì		
匴	suǎn		
匸	xì		
匹	pǐǀpīǀpí		
区	qūǀōu		
医	yī		
匼	kē		
匽	yǎn		
匾	biǎnǀpián		
匿	nì		
十	shí		
卂	xùn		
千	qiān		
卄	niàn		
卅	sà		
卆	zú		
升	shēng		
午	wǔǀwu		
卉	huì		
半	bànǀban		
卌	xì		
卍	wàn		
华	huáǀhuàǀhuā		
协	xié		
卐	wàn		
卑	bēi		
卒	zúǀcù		
卓	zhuó		
单	dānǀshànǀchán		
卖	mài		
南	nánǀnā		
単	dān		
博	bó		
卜	bǔǀbo		
卝	guànǀkuàng		
卞	biàn		
卟	bǔ		
占	zhànǀzhān		
卡	kǎǀqiǎ		
卢	lú		
卣	yǒu		
卤	lǔ		
卦	guà		
卧	wòǀwo		
卨	xiè		
卩	jié		
卪	xx		
卫	wèi		
卬	áng		
卮	zhī		
卯	mǎo		
印	yìn		
危	wēi		
卲	shào		
即	jí		
却	què		
卵	luǎn		
卷	juǎnǀjuàn		
卸	xiè		
卺	jǐn		
卼	wù		
卽	jí		
卿	qīng		
厂	chǎngǀhǎn		
厄	è		
厅	tīng		
历	lìǀli		
厉	lì		
压	yāǀyàǀya		
厌	yànǀyān		
厍	shè		
厎	zhǐ		
厐	páng		
厓	yá		
厔	zhì		
厕	cèǀsiǀsì		
厖	páng		
厗	tí		
厘	lí		
厚	hòuǀhou		
厜	zuī		
厝	cuò		
厞	fèi		
原	yuán		
厢	xiāng		
厣	yǎn		
厥	jué		
厦	shàǀxià		
厨	chú		
厩	jiù		
厪	jǐnǀqín		
厮	sī		
厰	chǎng		
厳	yán		
厹	qiúǀróu		
去	qùǀqu		
厼	xx		
厾	dū		
县	xiàn		
叁	sān		
参	cānǀshēnǀcēn		
叄	sān		
叆	ài		
叇	dài		
又	yòu		
叉	chāǀchàǀchá		
及	jí		
友	yǒuǀyou		
双	shuāngǀhuāng		
反	fǎn		
収	shōu		
发	fāǀfàǀfa		
叒	ruò		
叔	shūǀshu		
叕	zhuó		
取	qǔ		
受	shòuǀshou		
变	biàn		
叙	xù		
叚	jiǎ		
叛	pàn		
叟	sǒu		
叠	dié		
口	kǒuǀkouǀluó		
古	gǔ		
句	jùǀgōuǀjú		
另	lìng		
叨	dāoǀdaoǀtāo		
叩	kòu		
只	zhǐǀzhī		
叫	jiào		
召	zhàoǀshào		
叭	baǀbā		
叮	dīng		
可	kěǀkè		
台	táiǀtāi		
叱	chì		
史	shǐ		
右	yòu		
叵	pǒ		
叶	yèǀxié		
号	hàoǀháoǀhao		
司	sīǀsi		
叹	tàn		
叻	lè		
叼	diāo		
叽	jīǀji		
吁	xūǀyù		
吃	chī		
各	gèǀgě		
吅	sòngǀxuān		
吆	yāo		
合	héǀgěǀhe		
吉	jí		
吊	diào		
吋	cùn		
同	tóngǀtongǀtòng		
名	míng		
后	hòu		
吏	lì		
吐	tǔǀtù		
向	xiàng		
吒	zhàǀzhaǀzhā		
吓	xiàǀhè		
吔	yē		
吕	lǚ		
吖	ā		
吗	maǀmǎǀmá		
君	jūn		
吜	chǒu		
吝	lìn		
吞	tūn		
吟	yín		
吠	fèi		
吡	bǐ		
吣	qìn		
吥	bù		
否	fǒuǀpǐ		
吧	bāǀbaǀbia1		
吨	dūn		
吩	fēn		
吪	é		
含	hán		
听	tīngǀyǐnǀting		
吭	kēngǀháng		
吮	shǔn		
启	qǐ		
吰	hóng		
吱	zhīǀzī		
吲	yǐn		
吴	wú		
吵	chǎoǀchāoǀchao		
吸	xī		
吹	chuī		
吻	wěn		
吼	hǒu		
吽	hōngǀhǒuǀōu		
吾	wúǀwu		
呀	yāǀya		
呃	è		
呆	dāi		
呇	qǐ		
呈	chéng		
呉	wú		
告	gàoǀgao		
呋	fū		
呎	chǐ		
呏	shēng		
呐	nàǀna		
呑	tūn		
呒	mǀfǔǀwǔ		
呓	yì		
呔	tāi		
呕	ǒuǀòu		
呖	lì		
呗	bàiǀbei		
员	yuán		
呙	guōǀwāi		
呛	qiàngǀqiāng		
呜	wū		
呠	pēn		
呡	wěn		
呢	níǀne		
呣	m		
呤	lìngǀlíng		
呦	yōu		
呧	dǐ		
周	zhōu		
呫	tièǀzhān		
呬	xì		
呯	píng		
呰	zǐ		
呱	guāǀguaǀgū		
呲	cīǀzī		
味	wèiǀwei		
呴	xū		
呵	hēǀā		
呶	náoǀnǔ		
呷	gāǀxiā		
呸	pēi		
呺	xiāo		
呻	shēn		
呼	hūǀhu		
命	mìng		
呿	qū		
咀	jǔǀzuǐ		
咁	gān		
咂	zā		
咄	duō		
咅	pǒu		
咆	páo		
咇	bì		
咈	fú		
咉	yāng		
咋	zǎǀzhàǀzé		
和	héǀhèǀhuo		
咍	hāi		
咎	jiù		
咏	yǒng		
咐	fù		
咑	dā		
咒	zhòu		
咔	kǎǀkā		
咕	gūǀgu		
咖	kāǀgā		
咗	zuǒ		
咙	lóng		
咚	dōngǀdong		
咛	níng		
咝	sī		
咠	qì		
咡	èr		
咢	è		
咣	guāng		
咤	zhà		
咥	diéǀxì		
咦	yí		
咧	liēǀliěǀlie		
咨	zī		
咩	miē		
咪	mīǀmi		
咫	zhǐ		
咬	yǎo		
咭	jī		
咮	zhòu		
咯	gēǀluòǀlo		
咱	zánǀzanǀzá		
咳	kéǀhāi		
咴	huī		
咷	táo		
咸	xián		
咹	è		
咺	xuǎn		
咻	xiū		
咽	yānǀyànǀyè		
咾	lǎo		
咿	yī		
哀	āi		
品	pǐn		
哂	shěn		
哃	tóng		
哄	hōngǀhǒngǀhòng		
哆	duō		
哇	wāǀwa		
哈	hāǀhǎǀha		
哉	zāi		
哋	dì		
哌	pài		
响	xiǎng		
哎	āi		
哏	gén		
哐	kuāng		
哑	yǎǀyā		
哒	dāǀda		
哓	xiāo		
哔	bìǀbī		
哕	yuěǀhuì		
哗	huáǀhuā		
哙	kuàiǀwèi		
哚	duǒ		
哜	jì		
哝	nóngǀnong		
哞	mōu		
哟	yōǀyo		
哢	lòng		
哤	máng		
哥	gēǀge		
哦	éǀóǀò		
哧	chīǀchi		
哨	shàoǀshao		
哩	līǀliǀlǐ		
哪	nǎǀnaǀněi		
哫	zú		
哭	kūǀku		
哮	xiào		
哰	láo		
哱	bō		
哲	zhé		
哳	zhā		
哺	bǔǀbūǀbù		
哼	hēng		
哽	gěng		
哿	gě		
唁	yàn		
唂	gū		
唅	hān		
唆	suōǀsuo		
唇	chún		
唈	yì		
唉	āiǀài		
唊	jiá		
唎	lìǀli		
唏	xī		
唐	táng		
唑	zuò		
唔	wú		
唛	mài		
唝	hǒngǀgòng		
唞	dǒu		
唠	láoǀlaoǀlào		
唡	liǎng		
唢	suǒ		
唣	zào		
唤	huànǀhuan		
唧	jīǀji		
唪	fěng		
唫	jìnǀyín		
唬	hǔǀhu		
售	shòu		
唯	wéiǀwěi		
唰	shuā		
唱	chàng		
唲	ér		
唳	lì		
唵	ǎn		
唶	jiè		
唷	yōǀyo		
唹	yú		
唻	lài		
唼	shǎ		
唾	tuò		
唿	hū		
啀	ái		
啁	zhōu		
啃	kěn		
啄	zhuó		
啅	zhào		
商	shāng		
啉	lín		
啊	āǀáǀǎ		
啍	tūn		
啎	wǔ		
啐	cuì		
啕	táo		
啖	dàn		
啜	chuò		
啡	fēi		
啤	pí		
啥	shá		
啦	lāǀla		
啧	zé		
啪	pā		
啫	zhě		
啬	sè		
啭	zhuàn		
啮	niè		
啯	guō		
啰	luōǀluo		
啱	yān		
啲	dī		
啴	chǎnǀtān		
啵	bōǀbo		
啶	dìng		
啷	lāng		
啸	xiào		
啻	chì		
啼	tí		
啽	án		
啾	jiū		
喀	kā		
喁	yóng		
喂	wèiǀwéi		
喃	nán		
善	shàn		
喆	zhé		
喇	lǎǀlàǀlā		
喈	jiē		
喉	hóu		
喊	hǎn		
喋	dié		
喌	zhōu		
喏	nuòǀrě		
喑	yīn		
喓	yāo		
喔	ōǀwo		
喘	chuǎn		
喙	huì		
喜	xǐ		
喝	hēǀhèǀhe		
喟	kuì		
喣	xǔ		
喤	huáng		
喥	dù		
喦	niè		
喧	xuān		
喨	liàng		
喩	yù		
喭	yàn		
單	dān		
喱	lí		
喳	zhāǀchāǀcha		
喵	miāo		
営	yíng		
喷	pēnǀpènǀpen		
喹	kuí		
喺	xǐ		
喻	yù		
喼	jié		
喽	lóuǀlou		
喾	kù		
喿	sào		
嗀	huò		
嗃	hè		
嗄	áǀshà		
嗅	xiù		
嗈	yōng		
嗉	sù		
嗌	ài		
嗍	suō		
嗐	hài		
嗑	kèǀkē		
嗒	dāǀtàǀda		
嗓	sǎng		
嗔	chēn		
嗕	rù		
嗖	sōu		
嗙	pǎng		
嗛	qiàn		
嗜	shì		
嗝	gé		
嗞	zī		
嗟	jiē		
嗡	wēng		
嗣	sì		
嗤	chī		
嗥	háo		
嗦	suoǀsuō		
嗨	hāi		
嗪	qín		
嗫	niè		
嗬	hē		
嗯	enǀēnǀèn		
嗲	diǎ		
嗳	àiǀǎi		
嗵	tōng		
嗷	áo		
嗹	lián		
嗻	zhè		
嗽	souǀsòu		
嗾	sǒu		
嗿	tǎn		
嘀	dīǀdí		
嘁	qīǀqi		
嘅	gě		
嘈	cáo		
嘉	jiā		
嘌	piàoǀpiāo		
嘎	gāǀgá		
嘏	gǔǀjiǎ		
嘐	xiāo		
嘒	huì		
嘘	xū		
嘚	dēǀdè		
嘛	maǀmá		
嘞	lei		
嘟	dū		
嘡	tāng		
嘢	yě		
嘣	bēng		
嘤	yīng		
嘥	sāi		
嘦	jiào		
嘧	mì		
嘬	chuàiǀzuō		
嘭	pēng		
嘱	zhǔ		
嘲	cháoǀzhāo		
嘴	zuǐ		
嘶	sī		
嘹	liáo		
嘻	xī		
嘿	hēi		
噀	xùn		
噂	zǔn		
噇	chuáng		
噌	cēngǀchēng		
噍	jiào		
噎	yē		
噏	xī		
噔	dēng		
噗	pū		
噘	juē		
噙	qín		
噜	lūǀlu		
噞	yǎn		
噢	ō		
噤	jìn		
器	qì		
噩	è		
噪	zào		
噫	yī		
噬	shì		
噭	jiào		
噱	juéǀxué		
噳	yǔ		
噶	gá		
噷	hèn		
噻	sāi		
噼	pī		
嚃	tà		
嚄	huòǀǒ		
嚅	rú		
嚆	hāo		
嚎	háo		
嚏	tì		
嚓	chāǀcā		
嚔	tì		
嚗	bó		
嚚	yín		
嚜	me		
嚝	hōng		
嚟	lì		
嚣	xiāo		
嚬	pín		
嚭	pǐ		
嚯	huò		
嚱	xī		
嚵	chánǀchàn		
嚷	rǎngǀrāngǀrang		
嚼	jiáoǀjué		
囆	chài		
囊	nángǀnāngǀnang		
囍	xǐ		
囒	lán		
囔	nangǀnāng		
囖	luo		
囗	wéi		
